100 days fat loss challenge,,,,,,,,,,,,,
No,Date,Day,Carbs(cal),Protiens(cal),Total(cal),Gym,Junk food,,,,,,
1,3/28/2026,Saturday,,,2100,n,y,,,,,Start date,3/28/2026
2,3/29/2026,Sunday,,,2100,n,y,,,,,,
3,3/30/2026,Monday,,,1500,n,n,,,,,,
4,3/31/2026,Tuesday,,,1900,n,y,,,,,,
5,4/1/2026,Wednesday,,,1500,n,y,,,,,,
6,4/2/2026,Thursday,,,2100,n,n,,,,,,
7,4/3/2026,Friday,,,2100,n,y,,,,,,
8,4/4/2026,Saturday,,,2000,n,y,,,,,,
9,4/5/2026,Sunday,,,1500,n,n,,,,,,
10,4/6/2026,Monday,,,1400,n,y,,,,,,
11,4/7/2026,Tuesday,,,1600,n,n,,,,,,
12,4/8/2026,Wednesday,,,3000,n,y,,,,,,
13,4/9/2026,Thursday,,,3000,n,y,,,,,,
14,4/10/2026,Friday,,,3000,n,y,,,,,,
15,4/11/2026,Saturday,,,2100,n,y,,,,,,
16,4/12/2026,Sunday,,,2100,n,y,,,,,,
17,4/13/2026,Monday,,,1600,n,y,,,,,,
18,4/14/2026,Tuesday,,,2000,n,y,,,,,,
19,4/15/2026,Wednesday,,,2000,n,y,,,,,,
20,4/16/2026,Thursday,,,1700,n,y,,,,,,
21,4/17/2026,Friday,,,2000,n,y,,,,,,
22,4/18/2026,Saturday,,,1250,n,n,,,,,,
23,4/19/2026,Sunday,,,2300,n,y,,,,,,
24,4/20/2026,Monday,,,1500,n,n,,,,,,
25,4/21/2026,Tuesday,,,1600,n,n,,,,,,
26,4/22/2026,Wednesday,,,1400,n,n,,,,,,
27,4/23/2026,Thursday,,,1200,n,y,,,,,,
28,4/24/2026,Friday,,,1700,n,n,,,,,,
29,4/25/2026,Saturday,,,1400,n,n,,,,,,
30,4/26/2026,Sunday,,,2500,n,y,,,,,,
31,4/27/2026,Monday,,,1600,n,n,,,,,,
32,4/28/2026,Tuesday,,,2000,n,y,,,,,,
33,4/29/2026,Wednesday,,,2000,n,y,,,,,,
34,4/30/2026,Thursday,,,1200,n,n,,,,,,
35,5/1/2026,Friday,,,1400,n,n,,,,,,
